time;value:ana_in_4;value:ana_in_5;value:ps_pin;id:ps_pin;bucket:ps_pin;metadata:ps_pin;value:inputs;id:inputs;bucket:inputs;metadata:inputs;value:ip;id:ip;bucket:ip;metadata:ip;value:location;id:location;bucket:location;location:location;metadata:location;value:rssi;id:rssi;bucket:rssi;metadata:rssi
2022-08-01T16:41:09.000-03:00;;1297;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:41:04.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:59.000-03:00;;1309;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:54.000-03:00;;1299;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:49.000-03:00;;1289;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:44.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:39.000-03:00;;1303;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:34.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:29.000-03:00;;1286;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:24.000-03:00;;1294;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:19.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:15.000-03:00;;1299;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:09.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:40:04.000-03:00;;1251;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:59.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:55.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:49.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:45.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:40.000-03:00;;1239;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:34.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:29.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:24.000-03:00;;1302;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:20.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:14.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:09.000-03:00;;1309;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:39:04.000-03:00;;1264;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:59.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:54.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:49.000-03:00;;1253;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:44.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:39.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:34.000-03:00;;1248;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:29.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:24.000-03:00;;1250;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:19.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:14.000-03:00;;1287;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:10.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:38:04.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:59.000-03:00;;1283;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:54.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:50.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:44.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:39.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:34.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:29.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:24.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:19.000-03:00;;1250;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:14.000-03:00;;1278;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:09.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:37:04.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:59.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:54.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:49.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:44.000-03:00;;1293;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:39.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:34.000-03:00;;1263;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:29.000-03:00;;1258;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:24.000-03:00;;1258;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:19.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:14.000-03:00;;1308;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:09.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:36:04.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:59.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:54.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:49.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:44.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:39.000-03:00;;1299;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:34.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:29.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:24.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:19.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:14.000-03:00;;1281;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:09.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:35:04.000-03:00;;1298;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:59.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:54.000-03:00;;1306;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:49.000-03:00;;1252;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:44.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:39.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:34.000-03:00;;1341;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:29.000-03:00;;1275;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:24.000-03:00;;1301;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:19.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:14.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:09.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:34:04.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:59.000-03:00;;1333;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:54.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:49.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:44.000-03:00;;1290;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:39.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:34.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:29.000-03:00;;1320;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:24.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:19.000-03:00;;1309;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:14.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:09.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:33:04.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:59.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:54.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:49.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:44.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:39.000-03:00;;1306;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:34.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:29.000-03:00;;1257;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:24.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:19.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:14.000-03:00;;1239;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:09.000-03:00;;1310;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:32:04.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:59.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:54.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:49.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:44.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:39.000-03:00;;1296;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:34.000-03:00;;1267;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:29.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:24.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:19.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:14.000-03:00;;1341;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:09.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:31:04.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:59.000-03:00;;1295;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:54.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:49.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:44.000-03:00;;1324;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:39.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:34.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:29.000-03:00;;1311;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:24.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:19.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:14.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:09.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:30:04.000-03:00;;1306;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:59.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:54.000-03:00;;1331;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:49.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:44.000-03:00;;1325;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:39.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:34.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:29.000-03:00;;1257;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:24.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:19.000-03:00;;1291;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:14.000-03:00;;1274;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:09.000-03:00;;1327;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:29:04.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:59.000-03:00;;1324;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:54.000-03:00;;1283;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:49.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:44.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:39.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:34.000-03:00;;1345;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:29.000-03:00;;1277;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:24.000-03:00;;1320;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:19.000-03:00;;1298;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:14.000-03:00;;1308;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:09.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:28:04.000-03:00;;1313;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:59.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:54.000-03:00;;1259;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:49.000-03:00;;1310;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:44.000-03:00;;1328;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:39.000-03:00;;1249;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:34.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:29.000-03:00;;1242;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:24.000-03:00;;1316;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:19.000-03:00;;1258;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:14.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:09.000-03:00;;1267;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:27:04.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:59.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:54.000-03:00;;1257;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:49.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:44.000-03:00;;1257;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:39.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:34.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:29.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:24.000-03:00;;1254;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:19.000-03:00;;1279;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:14.000-03:00;;1307;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:09.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:26:04.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:59.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:54.000-03:00;;1305;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:49.000-03:00;;1261;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:44.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:39.000-03:00;;1312;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:34.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:29.000-03:00;;1267;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:24.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:19.000-03:00;;1253;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:14.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:09.000-03:00;;1315;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:25:04.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:59.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:54.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:49.000-03:00;;1263;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:44.000-03:00;;1334;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:39.000-03:00;;1261;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:34.000-03:00;;1260;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:29.000-03:00;;1324;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:24.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:19.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:14.000-03:00;;1325;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:09.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:24:04.000-03:00;;1310;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:59.000-03:00;;1405;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:54.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:49.000-03:00;;1280;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:44.000-03:00;;1257;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:39.000-03:00;;1321;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:34.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
